country,animal,year,production,pop,meat_per_cap
Brunei Darussalam,beef and buffalo,2021,4.26741,429.999,9.924232381935772
Cambodia,beef and buffalo,2021,59.52424,16592.089,3.5875072753045143
Indonesia,beef and buffalo,2021,458.755,272248.4,1.685060408068514
Lao PDR,beef and buffalo,2021,61.30639,7337.777,8.354899583347926
Malaysia,beef and buffalo,2021,40.8455,32576.3,1.2538409825548025
Myanmar,beef and buffalo,2021,136.89795999999998,55294.98,2.4757755586492656
Philippines,beef and buffalo,2021,182.72524,110198.0,1.658153868491261
Singapore,beef and buffalo,2021,0.03425,5453.6,0.0062802552442423
Thailand,beef and buffalo,2021,154.55376,65212.951,2.3699856796850063
Viet Nam,beef and buffalo,2021,347.52345,98506.2,3.5279347898913977
Brunei Darussalam,mutton and goat,2021,0.07094,429.999,0.1649771278537857
Cambodia,mutton and goat,2021,,16592.089,
Indonesia,mutton and goat,2021,117.588,272248.4,0.431914384069842
Lao PDR,mutton and goat,2021,2.82604,7337.777,0.38513571617126
Malaysia,mutton and goat,2021,3.61892,32576.3,0.1110905781196759
Myanmar,mutton and goat,2021,12.0,55294.98,0.2170178920401092
Philippines,mutton and goat,2021,32.252849999999995,110198.0,0.2926809016497576
Singapore,mutton and goat,2021,0.03333,5453.6,0.0061115593369517
Thailand,mutton and goat,2021,2.12822,65212.951,0.0326349286049024
Viet Nam,mutton and goat,2021,21.34914,98506.2,0.2167288962522155
Brunei Darussalam,pig,2021,0.03135,429.999,0.072907146295689
Cambodia,pig,2021,107.36374,16592.089,6.470778935672295
Indonesia,pig,2021,323.67,272248.4,1.1888775103912457
Lao PDR,pig,2021,101.55963,7337.777,13.840653647555657
Malaysia,pig,2021,219.1786,32576.3,6.728161270616983
Myanmar,pig,2021,285.0,55294.98,5.154174935952594
Philippines,pig,2021,1187.30473,110198.0,10.774285649467323
Singapore,pig,2021,31.251,5453.6,5.730343259498313
Thailand,pig,2021,927.71694,65212.951,14.22596164985694
Viet Nam,pig,2021,2590.0,98506.2,26.29276126781868
Brunei Darussalam,poultry,2021,31.59257,429.999,73.4712638866602
Cambodia,poultry,2021,27.75546,16592.089,1.672812868831646
Indonesia,poultry,2021,3888.544,272248.4,14.28307383991972
Lao PDR,poultry,2021,43.18854,7337.777,5.885779848583571
Malaysia,poultry,2021,1625.4525,32576.3,49.89678078848734
Myanmar,poultry,2021,682.5421,55294.98,12.343653980885788
Philippines,poultry,2021,1367.57174,110198.0,12.410132125809907
Singapore,poultry,2021,84.80302999999999,5453.6,15.549917485697518
Thailand,poultry,2021,1844.91049,65212.951,28.290553666249515
Viet Nam,poultry,2021,1702.91419,98506.2,17.287380794305335
Brunei Darussalam,beef and buffalo,2020,2.393,453.6,5.275573192239858
Cambodia,beef and buffalo,2020,61.238,16338.087,3.748174434375334
Indonesia,beef and buffalo,2020,540.503,270203.917,2.0003522006677645
Lao PDR,beef and buffalo,2020,59.01,7261.210999999999,8.126743596901399
Malaysia,beef and buffalo,2020,43.493,32447.4,1.3404155648834728
Myanmar,beef and buffalo,2020,511.724,54817.917,9.33497710246816
Philippines,beef and buffalo,2020,174.768,108667.043,1.6082889087172456
Singapore,beef and buffalo,2020,0.035,5685.8,0.0061556860951844
Thailand,beef and buffalo,2020,132.043,65421.139,2.0183537311999413
Viet Nam,beef and buffalo,2020,470.343,97582.69368208083,4.819942781374248
Brunei Darussalam,mutton and goat,2020,0.061,453.6,0.1344797178130511
Cambodia,mutton and goat,2020,,16338.087,
Indonesia,mutton and goat,2020,136.747,270203.917,0.5060881482336173
Lao PDR,mutton and goat,2020,2.71,7261.210999999999,0.3732159828436331
Malaysia,mutton and goat,2020,4.026,32447.4,0.1240777381238558
Myanmar,mutton and goat,2020,126.746,54817.917,2.312127255765665
Philippines,mutton and goat,2020,31.673,108667.043,0.2914683157431642
Singapore,mutton and goat,2020,0.023,5685.8,0.004045165148264
Thailand,mutton and goat,2020,2.009,65421.139,0.0307087285655482
Viet Nam,mutton and goat,2020,21.322,97582.69368208083,0.2185018592483819
Brunei Darussalam,pig,2020,0.031,453.6,0.068342151675485
Cambodia,pig,2020,93.196,16338.087,5.704217390934447
Indonesia,pig,2020,241.354,270203.917,0.8932290940845243
Lao PDR,pig,2020,97.575,7261.210999999999,13.437841153493546
Malaysia,pig,2020,221.325,32447.4,6.821039590229109
Myanmar,pig,2020,1127.135,54817.917,20.56143432082617
Philippines,pig,2020,1499.853,108667.043,13.802280420936825
Singapore,pig,2020,27.765,5685.8,4.883217840937071
Thailand,pig,2020,893.5,65421.139,13.65766499418483
Viet Nam,pig,2020,3550.105,97582.69368208083,36.38047758310557
Brunei Darussalam,poultry,2020,26.566,453.6,58.56701940035273
Cambodia,poultry,2020,27.179,16338.087,1.663536251214723
Indonesia,poultry,2020,3752.238,270203.917,13.886689880961274
