country,year,pop
Brunei Darussalam,2022,445.4
Cambodia,2022,16843.333
Indonesia,2022,275719.91
Lao PDR,2022,7442.79
Malaysia,2022,32698.1
Myanmar,2022,55770.2
Philippines,2022,111572.254
Singapore,2022,5637.022
Thailand,2022,66090.0
Viet Nam,2022,99461.715
Brunei Darussalam,2021,429.999
Cambodia,2021,16592.089
Indonesia,2021,272248.4
Lao PDR,2021,7337.777
Malaysia,2021,32576.3
Myanmar,2021,55294.98
Philippines,2021,110198.0
Singapore,2021,5453.6
Thailand,2021,65212.951
Viet Nam,2021,98506.2
Brunei Darussalam,2020,453.6
Cambodia,2020,16338.087000000001
Indonesia,2020,270203.917
Lao PDR,2020,7261.210999999999
Malaysia,2020,32447.4
Myanmar,2020,54817.917
Philippines,2020,108667.043
Singapore,2020,5685.8
Thailand,2020,65421.139
Viet Nam,2020,97582.69368208085
Brunei Darussalam,2019,459.5
Cambodia,2019,16078.666
Indonesia,2019,266911.9
Lao PDR,2019,7123.2
Malaysia,2019,32523.0
Myanmar,2019,54340.0
Philippines,2019,107288.15
Singapore,2019,5703.569
Thailand,2019,65557.054
Viet Nam,2019,96483.981
Brunei Darussalam,2018,442.4
Cambodia,2018,15981.798
Indonesia,2018,264161.7
Lao PDR,2018,7012.995
Malaysia,2018,32382.2
Myanmar,2018,53863.0
Philippines,2018,105755.18
Singapore,2018,5638.676
Thailand,2018,67831.5815983506
Viet Nam,2018,95385.184
Brunei Darussalam,2017,421.3
Cambodia,2017,15717.674
Indonesia,2017,261355.5
Lao PDR,2017,6900.846
Malaysia,2017,32022.5
Myanmar,2017,53388.0
Philippines,2017,104921.4
Singapore,2017,5612.253
Thailand,2017,67653.2065859367
Viet Nam,2017,94285.951
Brunei Darussalam,2016,417.256
Cambodia,2016,15453.920999999998
Indonesia,2016,258496.5
Lao PDR,2016,6787.007
Malaysia,2016,31633.5
Myanmar,2016,52917.0
Philippines,2016,103242.9
Singapore,2016,5607.283
Thailand,2016,67454.69421677582
Viet Nam,2016,93250.704
Brunei Darussalam,2015,412.4
Cambodia,2015,15191.739
Indonesia,2015,255587.9
Lao PDR,2015,6671.68
Malaysia,2015,31186.1
Myanmar,2015,52450.0
Philippines,2015,101562.3
Singapore,2015,5535.002
Thailand,2015,67235.96139246467
Viet Nam,2015,92228.603
Brunei Darussalam,2014,411.9
Cambodia,2014,14932.301
Indonesia,2014,252164.786
Lao PDR,2014,6809.05383825
Malaysia,2014,30708.5
Myanmar,2014,51991.0
Philippines,2014,99880.29999999999
Singapore,2014,5469.724
Thailand,2014,67002.62989360528
Viet Nam,2014,91203.761
Brunei Darussalam,2013,406.20000000000005
Cambodia,2013,14676.59
Indonesia,2013,248818.09
Lao PDR,2013,6644.018
Malaysia,2013,30213.699999999997
Myanmar,2013,51184.0
Philippines,2013,98196.5
Singapore,2013,5399.162
Thailand,2013,66754.59106955625
Viet Nam,2013,90191.419
